Link,Title,Visuals,Description,Skills,Importance,Date Published,Publication,Type,data,design,news,Role
https://emmastiefel.github.io/living%20student%20visa%20fees.html,Adding up Student Visa Fees for Minerva's Global Rotation,"<img class=""clip__img"" src=""/Portfolio Visuals/Visa Fees Visuals/Screen Shot 2021-02-06 at 8.59.04 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Visa Fees Visuals/Screen Shot 2021-02-06 at 8.59.36 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Visa Fees Visuals/Screen Shot 2021-02-06 at 9.00.03 PM.png""></img>","I created this interactive data visualization and article for the Minerva Quest, my college’s independent student news source. It presents information about student visa fees Minerva students must pay in order to complete the global rotation, our school’s study-abroad model that sends students to San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London, and finally Taipei.

I used D3.js to build the interactive bar chart and implement scrollytelling features. The student visa fees data I collected, as well as the code I used to scrape F-1 visa information from the US Department of State website, is linked to in the “Data Sources” section of the piece. I also wrote a short python script to clean some of the data and used my own dataset matching script to merge multiple data sources into one csv file.

This piece is my first published interactive data visualization and, while it’s not perfect, completing it taught me how to iteratively improve my work by incorporating feedback from multiple sources and expanding my knowledge of Javascript and HTML/CSS as needed.","D3.js, data integration, data verification, Python/Pandas, web scraping, Python/Beautiful Soup, fuzzy matching, interviewing, scrollytelling",1,10/16/2020,The Minerva Quest,Student Journalism,1,1,1,Sole creator
https://www.minervaquest.com/2020/06/14/70-students-told-us-about-their-experiences-with-financial-aid-heres-what-we-learned/,Minerva Financial Aid Survey and Analysis: Data Journalism,"<img class=""clip__img"" src=""Portfolio Visuals/Fin Aid Survey Visuals/Screen Shot 2021-02-06 at 9.01.15 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Fin Aid Survey Visuals/Screen Shot 2021-02-06 at 9.01.37 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Fin Aid Survey Visuals/Screen Shot 2021-02-06 at 9.01.53 PM.png""></img>","This data journalism article was published on the Minerva Quest on June 14, 2020. It has served as a cornerstone of our reporting on Minerva Schools’ financial aid system. I also used it as an opportunity to test out several data journalism best practices, including drawing attention to the context and limits of the survey data and my analysis of it; designing pictograms that emphasize the sample size and individual variation in responses; and transparently linking to the original survey questions and my analysis code.","survey design, Python/Pandas, data analysis, Adobe Illustrator, data visualization",2,6/14/2020,The Minerva Quest,Student Journalism,1,1,1,Sole creator
https://san-francisco-shelter-waitlist.herokuapp.com/,San Francisco Emergency Shelter Waitlist Infographic,"<img class=""clip__img"" src=""Portfolio Visuals/Emergency Waitlist Visuals/Screen Shot 2021-02-06 at 9.03.33 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Emergency Waitlist Visuals/Screen Shot 2021-02-06 at 9.04.01 PM.png""></img><img class=""clip__img"" src=""Portfolio Visuals/Emergency Waitlist Visuals/Screen Shot 2021-02-06 at 9.04.20 PM.png""></img>","I'm running this on a free server, so it's slow to load. Refresh the page a few times if necessary! This website displays the most up-to-date publicly available data about San Francisco's 90-day emergency shelter waitlist. The piece uses the list to explain the extent of homelessness in San Francisco, by visualizing how many people are waiting for shelter and how they tend to be older. I also used it as an opportunity to learn how to create dynamic web apps with Python's Flask library instead of sticking to static sites. ","D3.js, Python/Flask, web app creation, API use, data processing, data visualization, Adobe Illustrator",3,11/13/2020,NA,Class Assignment,1,1,0,Sole creator
https://medium.com/@emma.stiefel/plugging-holes-in-kaggles-titanic-dataset-an-introduction-to-combining-datasets-with-fuzzywuzzy-60a686699da7,Plugging Holes in Kaggle’s Titanic Dataset: An Introduction to Combining Datasets with FuzzyWuzzy and Pandas,,"I wrote this article and the accompanying code for a data science class assignment. It highlights both my ability to contextualize and critically analyze data — I ended up discovering several inaccuracies in Kaggle’s dataset — as well as my technical skills, which I used to write a script that merges datasets by fuzzy matching variations of names.","Python/Pandas, data verification, fuzzy matching, web scraping, Python/Beautiful Soup, Python/Fuzzy Wuzzy, data integration",4,10/21/2020,NA,Class Assignment,1,0,0,Sole creator
https://www.minervaquest.com/2020/04/17/a-tiny-history-of-big-data/,A Tiny History of Big Data,"<img class=""clip__img"" src=""Portfolio Visuals/Census Enumerator Visuals/Screen Shot 2021-02-06 at 9.05.30 PM.png""></img>",I created this animated data visualization and accompanying essay for a digital history assignment in Spring 2020. The project required me to learn QGIS and develop some creative techniques to clean the historical census data. I also treated it as an exercise in contextualizing data and coherently explaining its possibilities and limitations.,"QGIS, historical research, approximation, Python/Pandas",5,4/17/2020,The Minerva Quest,Student Journalism,1,0,0,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/san-francisco-salary-analysis/,San Francisco Salary Analysis,,"I analyzed publicly available San Francisco salary data with Python for a class project. I computed summary statistics and confidence intervals for the data and interpreted what their practical implications were. ","Python, data analysis, basic statistics",6,3/20/2018,NA,Class Assignment,1,0,0,Sole creator
https://www.citybeat.com/news/article/21082291/cincinnati-christian-university-may-lose-its-accreditation-if-financial-problems-and-other-issues-arent-resolved,Cincinnati Christian University May Lose its Accreditation,,"I wrote this story for Cincinnati CityBeat while working as a part-time editorial intern for the local alternative newspaper. I uncovered the story while exploring the regional accreditation database for Ohio and reported it using public accreditation documents, interviews with the university president and a board member, and conversations with students (though these were not included in the final piece). 
","Accountability reporting, research, interviewing",7,8/13/2019,Cincinnati CityBeat,Professional Internship,0,0,1,Sole creator
https://www.minervaquest.com/2020/10/10/shipping-financial-aid-packages-from-a-us-based-university-to-a-global-student-body/,Shipping Financial Aid Packages from a US-Based University to a Global Student Body,,"This article was the culmination of six months of reporting on financial aid at Minerva Schools at KGI. I spoke to and surveyed every student who was willing to share their experiences, carefully protecting the privacy of each and making sure they understood how their stories would be reported. I persistently asked college administrators for answers to our questions about financial aid for the six months I was working on other aspects of reporting. The resulting article extensively documents the complexities, failures, and successes of my US-based college's attempt to fairly provide financial aid to a global student body. ","Accountability reporting, research, interviewing",8,10/10/2020,The Minerva Quest,Student Journalism,0,1,1,Sole creator
https://www.minervaquest.com/2020/04/14/student-organized-day-of-action-highlights-concerns-about-financial-aid/,Student-Organized Day of Action Highlights Concerns about Financial Aid,,"This news report about a student protest was published on the Minerva Quest on April 14. I completed interviews with multiple sources, including the president of Minerva Schools, within 24 hours. The story was finalized in record time for our small, young student publication.
","Accountability reporting, research, interviewing, writing on tight deadlines",9,4/14/2020,The Minerva Quest,Student Journalism,0,0,1,Sole creator
https://www.minervaquest.com/2019/09/25/minerva-moving-towards-independent-accreditation/,Minerva Moving Towards Independent Accreditation,,This article on my college applying for independent accreditation required me to read through dense documents and conduct extensive research to understand the accreditation process. I then clearly explained the process to my peers by formatting my article as questions and answers and including a timeline of the anticipated process.,,10,9/25/2019,The Minerva Quest,Student Journalism,0,1,1,Sole creator
https://www.wvxu.org/post/fear-tears-and-good-faith-how-one-ohio-woman-taught-herself-speak-english#stream/0,"Fear, Tears And Good Faith: How One Ohio Woman Taught Herself To Speak English",,"I created this audio story about one woman’s experience with living in the U.S. with a foreign accent for the 2018 AAJA Voices program. I worked with two other students to combine our individual audio stories into a podcast episode exploring different aspects of having a foreign accent in America. During the summer of 2019, I revised this piece and broadcast it on WVXU, Cincinnati’s public radio station, as a freelancer.","Adobe Audition, interviewing, writing for radio, audio editing",11,8/22/2019,WVXU,Freelance,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/04/11/modeling-the-cost-of-basic-goods-in-london-and-berlin/,Modeling the Cost of Basic Goods in London and Berlin,,"This report and the code behind it were created for a Minerva course on Bayesian inference in the fall of 2019. I used data on the prices of basic goods in grocery stores in London and Berlin to construct a model that estimates what the true “base price” of each product is and how factors like geographic location and store brand determine the price paid by the computer. I used Python to process the data and the PyStan library to build and run my model. 
",,12,11/1/2019,NA,Class Assignment,1,0,0,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/causal-and-predictive-inference-project/,Causal and Predictive Inference Project,,"This decision memo is my final project for a Minerva course on data analysis and causal inference. I had to replicate a figure from a professional study, assess the original study's causal validity, and then meaningfully extend the analysis (in my case, by creating a predictive algorithm based off the original causal data). You can see my code here.",,12,12/20/2018,NA,Class Assignment,1,0,0,"Worked with partner, focused on data analysis"
https://emmacstiefel.wordpress.com/2020/03/30/transgender-transparency/,Transgender Transparency,,"This story on transgender students in my district was published in the December 2016 issue of Spark and on lakotaeastsparkonline.com on Jan. 30, 2017.",,12,1/30/2017,Lakota East Spark,Student Journalism,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/low-income-in-lakota/,Low Income in Lakota,,"This article on low income families in my Ohio public school district, Lakota, was published in the March 2017 issue of Spark, Lakota East High School’s student news magazine.  Many people within and outside of Lakota believed that the district was overwhelmingly wealthy. Public data, however, revealed that 1 in 5 Lakota students lived in poverty. My piece explored the story of one of these students and investigated the challenges faced by low income families.",,12,3/1/2017,Lakota East Spark,Student Journalism,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/implicit-bias-animation/,Implicit Bias Animation,,"I created this video for my multimodal communications class during my second semester at Minerva. The assignment was to create a multimedia persuasive presentation, and I used it as an opportunity to start learning Adobe Animate. ",,12,3/1/2018,NA,Class Assignment,0,1,0,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/evolution-of-minerva-podcast/,Evolution of Minerva Podcast,,"The first class to earn a degree from my college, Minerva Schools at KGI, will graduate this spring. I created this podcast to explore how much their experience differs from that of the class of 2022, who enrolled in Minerva in 2018. Each episode pairs up a student from the class of 2019 with one from the class of 2022 to compare their experiences with a specific aspect of life at Minerva.

I used this podcast to learn audio production and explore my interest in dialogue and engagement journalism (in addition to making conversations the main content, I am also soliciting feedback about the podcast as I develop it). I also created the above illustration for the podcast. Hashtags are used to mark learning outcomes at Minerva (for example, #designthinking) and students closely associate them with the college. My design, therefore, mimics the famous “Evolution of Man” illustration with hashtags.",,12,2/1/2019,The Minerva Quest,Student Journalism,0,1,0,Sole creator
