,Song,Album,Written By,Produced By,Release Date,Description,Lyrics,URL
0,Dynamite,Dynamite (Extended),"['Jessica Agombar', 'David Stewart']",['David Stewart'],"August 21, 2020","“Dynamite” is an upbeat disco-pop song that sings of joy and confidence, bringing a new surge of ‘energy’ to reinvigorate the community during these difficult times. The song finds","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Chorus: Jimin, Jungkook, Jin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite

(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh (Light it up like dynamite)

[Post-Chorus: Jungkook, Jimin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-lyrics
1,Dynamite (Instrumental),Dynamite (Extended),['David Stewart'],['David Stewart'],"August 21, 2020",[Instrumental],"

[Instrumental]

",https://genius.com/Bts-dynamite-instrumental-lyrics
2,Dynamite (Acoustic Remix),Dynamite (Extended),"['David Stewart', 'Jessica Agombar']",['David Stewart'],"August 24, 2020","[Intro: Jungkook] / 'Cause I, I, I'm in the stars tonight / So watch me bring the fire and set the night alight / [Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and sеt the night alight (Hey)
Shining through the city with a littlе funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Chorus: Jimin, Jungkook, Jin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite

(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh (Light it up like dynamite)

[Post-Chorus: Jungkook, Jimin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-acoustic-remix-lyrics
3,Dynamite (EDM Remix),Dynamite (Extended),"['Jessica Agombar', 'David Stewart']",['David Stewart'],"August 24, 2020","[Intro: Jungkook] / 'Cause I, I, I'm in the stars tonight / So watch me bring the fire and set the night alight / [Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause in the stars tonight (Yeah), in the stars tonight (Yeah)
So watch mе bring the fire and set thе night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus:  Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up

[Chorus: Jungkook, Jimin]
In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Bridge: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Chorus: Jungkook, Jimin]
In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus:  Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Light it up like dynamite

",https://genius.com/Bts-dynamite-edm-remix-lyrics
4,Dynamite (Tropical Remix),Dynamite (Deluxe),"['Jessica Agombar', 'David Stewart']",['!MISSING!'],"August 28, 2020","[Intro: Jungkook] / 'Cause I, I, I'm in the stars tonight / So watch me bring the fire and set the night alight / [Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Ay)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight (Ay)
So watch me bring the fire and set the night alight (Ay)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Ay)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Chorus: Jimin, Jungkook, Jin]
I, I, I'm in the stars tonight (Ay)
So watch me bring the fire and set the night alight (Ay)
Shining through the city with a little funk and soul
Light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Ay)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-tropical-remix-lyrics
5,Dynamite (Poolside Remix),Dynamite (Deluxe),['!MISSING!'],['!MISSING!'],"August 28, 2020","[Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk, let's rock and roll / King Kong, kick the drum / Rolling on like a Rolling Stone / Sing song when I'm walking","

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus]
In the stars tonight, in the stars tonight
In the stars tonight, in the stars tonight
So watch me, in the stars tonight, in the stars tonight
So watch me light it up like dynamite, woah-oh-oh
In the stars tonight, in the stars tonight
In the stars tonight, in the stars tonight
So watch me, in the stars tonight, in the stars tonight
So watch me light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus]
In the stars tonight, in the stars tonight
In the stars tonight, in the stars tonight
So watch me, in the stars tonight, in the stars tonight
So watch me light it up like dynamite, woah-oh-oh
In the stars tonight, in the stars tonight
In the stars tonight, in the stars tonight
So watch me, in the stars tonight, in the stars tonight
So watch me light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-poolside-remix-lyrics
6,Dynamite,Dynamite (Extended),"['Jessica Agombar', 'David Stewart']",['David Stewart'],"August 21, 2020","“Dynamite” is an upbeat disco-pop song that sings of joy and confidence, bringing a new surge of ‘energy’ to reinvigorate the community during these difficult times. The song finds","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Chorus: Jimin, Jungkook, Jin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite

(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh (Light it up like dynamite)

[Post-Chorus: Jungkook, Jimin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-lyrics
7,Dynamite (Instrumental),Dynamite (Extended),['David Stewart'],['David Stewart'],"August 21, 2020",[Instrumental],"

[Instrumental]

",https://genius.com/Bts-dynamite-instrumental-lyrics
8,Dynamite (Acoustic Remix),Dynamite (Extended),"['David Stewart', 'Jessica Agombar']",['David Stewart'],"August 24, 2020","[Intro: Jungkook] / 'Cause I, I, I'm in the stars tonight / So watch me bring the fire and set the night alight / [Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and sеt the night alight (Hey)
Shining through the city with a littlе funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

[Chorus: Jungkook, V]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Post-Chorus: Jungkook, Jimin, Jin]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

[Bridge: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Chorus: Jimin, Jungkook, Jin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite

(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh (Light it up like dynamite)

[Post-Chorus: Jungkook, Jimin, V]
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

",https://genius.com/Bts-dynamite-acoustic-remix-lyrics
9,Dynamite (EDM Remix),Dynamite (Extended),"['Jessica Agombar', 'David Stewart']",['David Stewart'],"August 24, 2020","[Intro: Jungkook] / 'Cause I, I, I'm in the stars tonight / So watch me bring the fire and set the night alight / [Verse 1: Jungkook] / Shoes on, get up in the morn' / Cup of milk","

[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Verse 1: Jungkook]
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

[Pre-Chorus: RM, j-hope]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

[Chorus: Jungkook, Jimin]
'Cause in the stars tonight (Yeah), in the stars tonight (Yeah)
So watch mе bring the fire and set thе night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus:  Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Verse 2: V, RM]
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

[Pre-Chorus: Suga, Jimin, RM]
This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up

[Chorus: Jungkook, Jimin]
In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus: Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

[Bridge: Jungkook, Jimin]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

[Chorus: Jungkook, Jimin]
In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight (Set the night alight)
(Yeah) In the stars tonight (Yeah), in the stars tonight (Yeah)
So watch me bring the fire and set the night alight, night alight (Yeah)

[Post-Chorus:  Jungkook, j-hope, Jimin, V]
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy (In the stars tonight)
Light it up like dynamite

",https://genius.com/Bts-dynamite-edm-remix-lyrics
