Nationality,Total Students,F-1 Validity Period,USA,USA Reapply,USA Reciprocity Fee,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
United Kingdom,7,60,510,0,0,0,200,236.72,88.86,177.64,0,50,1263.22,,🇬🇧
Australia,3,60,510,0,305,0,120,91.53,88.86,177.64,124.11,50,1467.14,,🇦🇺
Russian Federation,11,12,510,160,0,0,80,52.56,88.86,177.64,124.11,50,1243.17,,🇷🇺
China,42,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇨🇳
Brazil,30,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇧🇷
Pakistan,27,60,510,0,0,0,60,15.01,88.86,177.64,124.11,50,1025.62,,🇵🇰
Kenya,20,60,510,0,90,0,60,91.53,88.86,177.64,124.11,50,1192.14,,🇰🇪
Nigeria,19,24,510,160,110,110,60,257.18,88.86,177.64,124.11,50,1647.79,,🇳🇬
Egypt,18,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇪🇬
India,18,60,510,0,0,0,60,0,88.86,177.64,124.11,50,1010.61,,🇮🇳
Mexico,16,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇽
South Korea,12,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇰🇷
Canada,11,60,350,0,0,0,60,91.53,88.86,177.64,124.11,50,942.14,,🇨🇦
Mongolia,10,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇲🇳
Kazakhstan,9,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇰🇿
Philippines,8,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇵🇭
Bulgaria,8,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇧🇬
Ethiopia,7,0,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇪🇹
Israel,7,41,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇮🇱
Norway,6,60,510,0,434,0,60,91.53,0,177.64,124.11,50,1447.28,European Economic Area country.,🇳🇴
Kosovo,6,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇽🇰
Singapore,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇸🇬
Turkey,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇹🇷
Bangladesh,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇧🇩
Malaysia,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇾
Sweden,5,48,510,0,240,0,60,91.53,0,177.64,124.11,50,1253.28,European Union country.,🇸🇪
Hong Kong,5,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇭🇰
Poland,5,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇵🇱
Romania,5,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇷🇴
South Africa,4,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇿🇦
Morocco,4,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇦
Netherlands,4,50,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇳🇱
Guatemala,3,19,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇬🇹
Argentina,3,60,510,0,315,0,60,91.53,88.86,0,124.11,50,1239.5,,🇦🇷
Armenia,3,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇦🇲
Georgia,3,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇬🇪
Hungary,3,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇭🇺
