,INSTNM,STABBR,UGDS_NRA,UGDS,LATITUDE,LONGITUDE,IS_STATE
0,Alabama A & M University,AL,0.006999999999999999,4990.0,34.783367999999996,-86.568502,True
1,University of Alabama at Birmingham,AL,0.0213,13186.0,33.505697,-86.799345,True
2,Amridge University,AL,0.0,351.0,32.362609,-86.17401,True
3,University of Alabama in Huntsville,AL,0.0223,7458.0,34.724557,-86.640449,True
4,Alabama State University,AL,0.0102,3903.0,32.364317,-86.295677,True
5,The University of Alabama,AL,0.0183,32177.0,33.211875,-87.545978,True
6,Central Alabama Community College,AL,0.0017,1211.0,32.92478,-85.945266,True
7,Athens State University,AL,0.0,2732.0,34.806793,-86.964698,True
8,Auburn University at Montgomery,AL,0.0488,4529.0,32.36736,-86.177544,True
9,Auburn University,AL,0.049,24147.0,32.599378,-85.488258,True
10,Birmingham-Southern College,AL,0.0119,1265.0,33.513774,-86.85055200000001,True
11,Chattahoochee Valley Community College,AL,0.0,1446.0,32.42391,-85.031485,True
12,South University-Montgomery,AL,0.0,321.0,32.342684000000006,-86.216488,True
13,Enterprise State Community College,AL,0.0,1269.0,31.297496000000002,-85.836956,True
14,Coastal Alabama Community College,AL,0.0005,5494.0,30.851343,-87.778193,True
15,Faulkner University,AL,0.0241,2079.0,32.384181,-86.21641,True
16,Gadsden State Community College,AL,0.0219,4147.0,33.994001000000004,-85.991438,True
17,New Beginning College of Cosmetology,AL,0.0,83.0,34.27871,-86.196931,True
18,George C Wallace Community College-Dothan,AL,0.0,3746.0,31.315274,-85.465836,True
19,George C Wallace State Community College-Hanceville,AL,0.0074,4569.0,34.072439,-86.781935,True
20,George C Wallace State Community College-Selma,AL,0.0145,1104.0,32.445917,-87.01329399999999,True
21,Herzing University-Birmingham,AL,0.0018,544.0,33.468466,-86.832465,True
22,Huntingdon College,AL,0.0009,1078.0,32.351034000000006,-86.284366,True
23,Heritage Christian University,AL,0.0408,49.0,34.856153000000006,-87.663051,True
24,J. F. Drake State Community and Technical College,AL,0.0295,678.0,34.771858,-86.572885,True
25,J F Ingram State Technical College,AL,0.0,443.0,32.582312,-86.39236899999999,True
26,Jacksonville State University,AL,0.0189,6394.0,33.822938,-85.765321,True
27,Jefferson State Community College,AL,0.0242,6937.0,33.652535,-86.707233,True
28,John C Calhoun State Community College,AL,0.0089,8270.0,34.645844,-86.949674,True
29,Judson College,AL,0.0,259.0,32.629253000000006,-87.315206,True
30,Lawson State Community College,AL,0.0024,2959.0,33.450814,-86.88884399999999,True
31,University of West Alabama,AL,0.0497,2152.0,32.588132,-88.186329,True
32,Lurleen B Wallace Community College,AL,0.0032,1267.0,31.322946999999996,-86.452262,True
33,Marion Military Institute,AL,0.0,392.0,32.623734000000006,-87.322041,True
34,Miles College,AL,0.0,1546.0,33.482442,-86.908751,True
35,University of Mobile,AL,0.044000000000000004,1294.0,30.793246999999997,-88.128934,True
36,University of Montevallo,AL,0.0275,2251.0,33.10625,-86.865099,True
37,Northwest-Shoals Community College,AL,0.0116,2590.0,34.739788,-87.678089,True
38,University of North Alabama,AL,0.0373,5741.0,34.806738,-87.681361,True
39,Northeast Alabama Community College,AL,0.0015,1982.0,34.545471,-85.911664,True
40,Oakwood University,AL,0.0676,1569.0,34.756344,-86.65270500000001,True
41,Reid State Technical College,AL,0.0,261.0,31.460265000000003,-86.96479699999999,True
