,id,full_text,word_len,favorite_count,retweet_count,date,created_at,detected_language,language_confidence
0,1.318930528393986e+18,punkify,7,203,44,2020-10-21,2020-10-21 15:01:57,en,0.6222209
1,1.31888521090637e+18,amiante,7,11,0,2020-10-21,2020-10-21 12:01:52,fr,1.0
2,1.3186134460202598e+18,pentalogue,10,10,0,2020-10-20,2020-10-20 18:01:58,el,0.23451458
3,1.3186134206026342e+18,apocalypst,10,60,5,2020-10-20,2020-10-20 18:01:52,en,0.6756746
4,1.3184854887019438e+18,casedemic,9,13,2,2020-10-20,2020-10-20 09:33:31,ro,0.6278749
5,1.3184851930958602e+18,digresser,9,12,1,2020-10-20,2020-10-20 09:32:20,en,0.26296282
6,1.3183265138640036e+18,soccering,9,168,27,2020-10-19,2020-10-19 23:01:48,en,1.0
7,1.318318981514756e+18,jokduri,7,13,2,2020-10-19,2020-10-19 22:31:53,eu,0.24455397
8,1.3183189460435476e+18,operculums,10,20,0,2020-10-19,2020-10-19 22:31:44,fr,0.6048729
9,1.3182736700459786e+18,cyberrelations,14,130,41,2020-10-19,2020-10-19 19:31:49,sv,0.9498107
10,1.3182586206483333e+18,equipotent,10,17,3,2020-10-19,2020-10-19 18:32:01,en,1.0
11,1.318258605460738e+18,aestheticizers,14,30,6,2020-10-19,2020-10-19 18:31:58,en,1.0
12,1.3182057510269788e+18,kapao,5,22,3,2020-10-19,2020-10-19 15:01:56,eo,0.859375
13,1.3181528682229596e+18,ultimaybe,9,167,33,2020-10-19,2020-10-19 11:31:48,en,0.90342045
14,1.318122789237293e+18,yooperlite,10,23,2,2020-10-19,2020-10-19 09:32:17,en,1.0
15,1.3181227241165988e+18,busero,6,49,7,2020-10-19,2020-10-19 09:32:01,es,0.34076333
16,1.3177150041797427e+18,guerrilleras,12,155,33,2020-10-18,2020-10-18 06:31:53,es,1.0
17,1.3174885271946732e+18,mardomi,7,8,0,2020-10-17,2020-10-17 15:31:57,su,0.9846154
18,1.3174054545579786e+18,spaghettified,13,219,46,2020-10-17,2020-10-17 10:01:51,it,0.4094409
19,1.3174054453179228e+18,spaghettification,17,2106,368,2020-10-17,2020-10-17 10:01:49,it,0.3385133
21,1.3172544647058883e+18,underlevered,12,174,23,2020-10-17,2020-10-17 00:01:52,en,0.9720271
22,1.317141204493095e+18,shipageddon,11,43,4,2020-10-16,2020-10-16 16:31:49,en,0.6970444
23,1.3171110537219645e+18,portraitize,11,25,2,2020-10-16,2020-10-16 14:32:00,mi,0.30321762
24,1.3171110213083464e+18,melleum,7,10,0,2020-10-16,2020-10-16 14:31:52,en,0.20377958
25,1.317088401938649e+18,froufy,6,50,7,2020-10-16,2020-10-16 13:01:59,en,1.0
26,1.3170357608104182e+18,bullfest,8,45,8,2020-10-16,2020-10-16 09:32:49,es,0.5987891
27,1.317035721698517e+18,obbys,5,15,0,2020-10-16,2020-10-16 09:32:40,en,1.0
28,1.3166735838973665e+18,curselike,9,32,7,2020-10-15,2020-10-15 09:33:39,es,0.28796956
29,1.3166732793740452e+18,koselig,7,137,25,2020-10-15,2020-10-15 09:32:27,en,0.42104816
30,1.3166732696936407e+18,outdoorphins,12,614,97,2020-10-15,2020-10-15 09:32:24,pt,1.0
31,1.3166732603025408e+18,frilufstliv,11,36,3,2020-10-15,2020-10-15 09:32:22,en,1.0
32,1.3166732339330294e+18,envenomings,11,11,3,2020-10-15,2020-10-15 09:32:16,enru,0.3720924
33,1.316446691269243e+18,unilluminatable,15,21,3,2020-10-14,2020-10-14 18:32:04,en,0.6958636
34,1.316446661791617e+18,enigmatologists,15,53,8,2020-10-14,2020-10-14 18:31:57,en,1.0
35,1.3163182885452308e+18,scamdemic,9,155,27,2020-10-14,2020-10-14 10:01:50,zu,0.3327003
36,1.316310888811561e+18,sectionmates,12,3,1,2020-10-14,2020-10-14 09:32:26,en,0.8774495
37,1.3163108712709775e+18,bellowingly,11,9,1,2020-10-14,2020-10-14 09:32:22,id,1.0
38,1.3163031757716644e+18,sumppi,6,14,2,2020-10-14,2020-10-14 09:01:47,es,0.72390646
39,1.316174889129214e+18,overcensorship,14,57,10,2020-10-14,2020-10-14 00:32:01,hu,0.2648561
40,1.3161597669771837e+18,supergovernmental,17,61,13,2020-10-13,2020-10-13 23:31:56,en,1.0
41,1.3160993239948206e+18,claspsing,9,36,3,2020-10-13,2020-10-13 19:31:45,en,1.0
42,1.3160691354161644e+18,ekatvam,7,13,1,2020-10-13,2020-10-13 17:31:47,en,0.81086415
43,1.316061567813849e+18,zenodo,6,11,1,2020-10-13,2020-10-13 17:01:43,suhi,0.57708836
44,1.3160540534833562e+18,psin,4,35,3,2020-10-13,2020-10-13 16:31:52,en,1.0
45,1.3160087471987548e+18,landscrapers,12,50,5,2020-10-13,2020-10-13 13:31:50,en,0.93619794
46,1.3160087390827684e+18,sidescrapers,12,39,8,2020-10-13,2020-10-13 13:31:48,hu,1.0
47,1.3159786356821606e+18,chimango,8,29,6,2020-10-13,2020-10-13 11:32:11,hu,0.4317059
48,1.3159786279981916e+18,signurio,8,3,0,2020-10-13,2020-10-13 11:32:09,en,1.0
49,1.3159709710152212e+18,leaderacknowledged,18,19,1,2020-10-13,2020-10-13 11:01:43,en,0.14041705
50,1.3159563380365517e+18,chimangos,9,24,5,2020-10-13,2020-10-13 10:03:34,sk,0.9167434
51,1.3159563012399104e+18,molsamer,8,4,0,2020-10-13,2020-10-13 10:03:26,en,0.62525713
52,1.3159560730235372e+18,gannef,6,9,1,2020-10-13,2020-10-13 10:02:31,mi,1.0
53,1.3159560179608084e+18,ephemeralizing,14,26,6,2020-10-13,2020-10-13 10:02:18,hu,1.0
54,1.3159559790585856e+18,galifty,7,4,0,2020-10-13,2020-10-13 10:02:09,hi,0.76252353
55,1.315955912163709e+18,delighteous,11,34,5,2020-10-13,2020-10-13 10:01:53,en,0.80949503
56,1.3157595874343977e+18,hellsite,8,6065,1357,2020-10-12,2020-10-12 21:01:45,fr,0.96671826
57,1.3157369404450406e+18,ladyology,9,68,14,2020-10-12,2020-10-12 19:31:46,en,1.0
