,id,full_text,favorite_count,retweet_count,created_at
0,1318930528393986049,punkify,203,44,2020-10-21 15:01:57
1,1318885210906370051,amiante,11,0,2020-10-21 12:01:52
2,1318613446020259853,pentalogue,10,0,2020-10-20 18:01:58
3,1318613420602634241,apocalypst,60,5,2020-10-20 18:01:52
4,1318485488701943808,casedemic,13,2,2020-10-20 09:33:31
5,1318485193095860225,digresser,12,1,2020-10-20 09:32:20
6,1318326513864003584,soccering,168,27,2020-10-19 23:01:48
7,1318318981514756096,jokduri,13,2,2020-10-19 22:31:53
8,1318318946043547654,operculums,20,0,2020-10-19 22:31:44
9,1318273670045978624,cyberrelations,130,41,2020-10-19 19:31:49
10,1318258620648333314,equipotent,17,3,2020-10-19 18:32:01
11,1318258605460738055,aestheticizers,30,6,2020-10-19 18:31:58
12,1318205751026978819,kapao,22,3,2020-10-19 15:01:56
13,1318152868222959618,ultimaybe,167,33,2020-10-19 11:31:48
14,1318122789237293056,yooperlite,23,2,2020-10-19 09:32:17
15,1318122724116598784,busero,49,7,2020-10-19 09:32:01
16,1317715004179742720,guerrilleras,155,33,2020-10-18 06:31:53
17,1317488527194673152,mardomi,8,0,2020-10-17 15:31:57
18,1317405454557978625,spaghettified,219,46,2020-10-17 10:01:51
19,1317405445317922816,spaghettification,2106,368,2020-10-17 10:01:49
20,1317405445317922816,spaghettification,2106,368,2020-10-17 10:01:49
21,1317254464705888256,underlevered,174,23,2020-10-17 00:01:52
22,1317141204493094912,shipageddon,43,4,2020-10-16 16:31:49
23,1317111053721964544,portraitize,25,2,2020-10-16 14:32:00
24,1317111021308346374,melleum,10,0,2020-10-16 14:31:52
25,1317088401938649089,froufy,50,7,2020-10-16 13:01:59
26,1317035760810418183,bullfest,45,8,2020-10-16 09:32:49
27,1317035721698516992,obbys,15,0,2020-10-16 09:32:40
28,1316673583897366530,curselike,32,7,2020-10-15 09:33:39
29,1316673279374045185,koselig,137,25,2020-10-15 09:32:27
30,1316673269693640704,outdoorphins,614,97,2020-10-15 09:32:24
31,1316673260302540801,frilufstliv,36,3,2020-10-15 09:32:22
32,1316673233933029377,envenomings,11,3,2020-10-15 09:32:16
33,1316446691269242882,unilluminatable,21,3,2020-10-14 18:32:04
34,1316446661791617025,enigmatologists,53,8,2020-10-14 18:31:57
35,1316318288545230848,scamdemic,155,27,2020-10-14 10:01:50
36,1316310888811560961,sectionmates,3,1,2020-10-14 09:32:26
37,1316310871270977536,bellowingly,9,1,2020-10-14 09:32:22
38,1316303175771664389,sumppi,14,2,2020-10-14 09:01:47
39,1316174889129213953,overcensorship,57,10,2020-10-14 00:32:01
40,1316159766977183745,supergovernmental,61,13,2020-10-13 23:31:56
41,1316099323994820608,claspsing,36,3,2020-10-13 19:31:45
42,1316069135416164354,ekatvam,13,1,2020-10-13 17:31:47
43,1316061567813849088,zenodo,11,1,2020-10-13 17:01:43
44,1316054053483356161,psin,35,3,2020-10-13 16:31:52
45,1316008747198754817,landscrapers,50,5,2020-10-13 13:31:50
46,1316008739082768384,sidescrapers,39,8,2020-10-13 13:31:48
47,1315978635682160640,chimango,29,6,2020-10-13 11:32:11
48,1315978627998191616,signurio,3,0,2020-10-13 11:32:09
49,1315970971015221253,leaderacknowledged,19,1,2020-10-13 11:01:43
50,1315956338036551681,chimangos,24,5,2020-10-13 10:03:34
51,1315956301239910402,molsamer,4,0,2020-10-13 10:03:26
52,1315956073023537152,gannef,9,1,2020-10-13 10:02:31
53,1315956017960808448,ephemeralizing,26,6,2020-10-13 10:02:18
54,1315955979058585608,galifty,4,0,2020-10-13 10:02:09
55,1315955912163708928,delighteous,34,5,2020-10-13 10:01:53
56,1315759587434397703,hellsite,6065,1357,2020-10-12 21:01:45
57,1315736940445040641,ladyology,68,14,2020-10-12 19:31:46
58,1315699213624279040,skimboard,24,1,2020-10-12 17:01:51
59,1315344376802017280,frackingon,34,1,2020-10-11 17:31:52
60,1315329281069809664,longwool,19,3,2020-10-11 16:31:52
61,1315132976188002304,xenoarchaeologist,123,17,2020-10-11 03:31:50
62,1315132948606316544,subgenomic,17,1,2020-10-11 03:31:43
63,1314710196011360256,rhythmize,70,16,2020-10-09 23:31:51
64,1314649825770602497,butchermen,14,0,2020-10-09 19:31:58
65,1314649798742618118,glitchlessly,94,11,2020-10-09 19:31:51
66,1314642267936874499,hyperconsumptive,57,10,2020-10-09 19:01:56
67,1314506462035668992,gladhandedness,28,2,2020-10-09 10:02:17
68,1314506436530049024,ethicalism,30,5,2020-10-09 10:02:11
69,1314498922124107777,zooarchaeological,34,6,2020-10-09 09:32:19
70,1314279860144156675,videokes,28,5,2020-10-08 19:01:51
71,1314257235460214788,intransgressible,30,1,2020-10-08 17:31:57
72,1314249667731914759,druggily,59,10,2020-10-08 17:01:53
73,1314196842125684736,whitesplainers,425,58,2020-10-08 13:31:58
74,1314166639638831104,shiving,23,4,2020-10-08 11:31:57
75,1314136610552844288,greensick,15,1,2020-10-08 09:32:38
76,1313902358137577480,piquiá,42,5,2020-10-07 18:01:47
77,1313849560876355585,ofthroughout,18,3,2020-10-07 14:32:00
78,1313796687496966144,alloparents,15,0,2020-10-07 11:01:54
79,1313781563302313999,rebunkering,45,14,2020-10-07 10:01:48
80,1313668388082810881,undermixed,42,4,2020-10-07 02:32:05
81,1313615454867542016,bribesfor,14,2,2020-10-06 23:01:44
82,1313577744475844609,restreams,14,1,2020-10-06 20:31:54
83,1313539971547004933,ndiguel,11,2,2020-10-06 18:01:48
84,1313412135704199169,scoundreling,18,5,2020-10-06 09:33:49
85,1313412126720090113,glossifying,11,2,2020-10-06 09:33:47
86,1313412118536912896,godsize,45,5,2020-10-06 09:33:45
87,1313411823706791936,hyperprolific,46,4,2020-10-06 09:32:35
88,1313411700088020993,amortie,10,0,2020-10-06 09:32:05
89,1313237991251378176,chitterchatter,96,8,2020-10-05 22:01:50
90,1313154960587096068,amongroommates,59,6,2020-10-05 16:31:54
91,1313139868038508545,fraksi,10,1,2020-10-05 15:31:56
92,1313132298183860226,quesolike,414,62,2020-10-05 15:01:51
93,1313056768642215936,nonmercantilist,27,6,2020-10-05 10:01:43
94,1313049300834955266,telamones,3,2,2020-10-05 09:32:03
95,1312958754992852994,mobiuses,61,11,2020-10-05 03:32:15
96,1312890696194502656,friyers,14,1,2020-10-04 23:01:48
97,1312815225939337218,commingl,60,5,2020-10-04 18:01:55
98,1312422639084937216,hogweeds,28,4,2020-10-03 16:01:55
99,1312415066147430401,megablazes,52,13,2020-10-03 15:31:49
100,1312324515456843776,recreationalized,36,4,2020-10-03 09:32:00
101,1312218850868559872,nonmonagamous,179,14,2020-10-03 02:32:08
102,1312173437469696001,nonmasked,416,89,2020-10-02 23:31:41
103,1312128216392376321,moebiuses,51,14,2020-10-02 20:31:59
104,1312105543360634881,deaccessing,26,7,2020-10-02 19:01:53
105,1312052651773825027,mijito,1144,215,2020-10-02 15:31:43
106,1312037714427076609,futbolín,1590,407,2020-10-02 14:32:22
107,1311999808375226368,boujaads,5,1,2020-10-02 12:01:44
