Nationality,Total Students,GDP_PC,USA,USA Reapply,USA Reciprocity Fee,Validity Period,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
United States,76,65118.36,0,0,0,0,0,58.5,111.02,88.86,177.64,124.11,50,610.13,,🇺🇸
China,42,10261.68,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇨🇳
Ukraine,38,3659.03,510,160,0,36,0,56.94,96.41,88.86,177.64,124.11,50,1263.96,,🇺🇦
Vietnam,35,2715.28,510,160,0,12,0,47.45,91.53,88.86,177.64,124.11,50,1249.59,Must pay to renew F-1 visa for each additional year in the US.,🇻🇳
Brazil,30,8717.19,510,0,0,48,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇷
Pakistan,27,1284.7,510,0,0,60,0,56.94,15.01,88.86,177.64,124.11,50,1022.56,,🇵🇰
Kenya,20,1816.55,510,0,90,60,0,56.94,91.53,88.86,177.64,124.11,50,1189.08,,🇰🇪
Nigeria,19,2229.86,510,160,110,24,110,56.94,257.18,88.86,177.64,124.11,50,1644.73,Must re-apply after two years and pay a $110 visa reciprocity fee: https://travel.state.gov/content/travel/en/us-visas/Visa-Reciprocity-and-Civil-Documents-by-Country/Nigeria.html,🇳🇬
Egypt,18,3020.03,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇪🇬
India,18,2104.15,510,0,0,60,0,56.94,0,88.86,177.64,124.11,50,1007.55,,🇮🇳
Germany,16,46258.88,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇩🇪
Mexico,16,9863.07,510,0,0,48,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇽
Japan,12,40246.88,510,0,0,60,0,56.94,21.38,88.86,177.64,124.11,50,1028.93,,🇯🇵
South Korea,12,31761.98,510,0,0,60,0,0,91.53,88.86,177.64,124.11,50,1042.14,,🇰🇷
Russian Federation,11,11585,510,160,0,12,0,75.92,52.56,88.86,177.64,124.11,50,1239.09,Must pay to renew F-1 visa for each additional year in the US.,🇷🇺
Canada,11,46194.73,350,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,939.08,US F-1: Do not need visa to study in the USA.,🇨🇦
Taiwan,10,24827.9,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,0,1049.08,2019 GDP per Capita from other source: https://www.statista.com/statistics/727592/gross-domestic-product-gdp-per-capita-in-taiwan/#:~:text=In%202018%2C%20the%20GDP%20perto%20around%2025%2C007.75%20U.S.%20dollars.,🇹🇼
Mongolia,10,4295.24,510,160,0,36,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇲🇳
Kazakhstan,9,9731.15,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇿
Bulgaria,8,9737.6,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇧🇬
Philippines,8,3485.08,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇭
United Kingdom,7,42300.27,510,0,0,60,0,189.8,236.72,88.86,177.64,0,50,1253.02,No longer European Union Country.,🇬🇧
Ethiopia,7,857.5,510,160,0,0,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇪🇹
Israel,7,43641.4,510,160,0,41,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇮🇱
Singapore,6,65233.28,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇬
Turkey,6,9042.49,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇷
Kosovo,6,4417.51,510,160,0,24,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇽🇰
Norway,6,75419.63,510,0,434,60,0,56.94,91.53,0,177.64,124.11,50,1444.22,European Unionropean Economic Area country.,🇳🇴
Bangladesh,6,1855.74,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇩
Malaysia,6,11414.84,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇾
Hong Kong,5,48755.84,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇭🇰
Poland,5,15595.23,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇵🇱
Sweden,5,51610.07,510,0,240,48,0,56.94,91.53,0,177.64,124.11,50,1250.22,European Union country.,🇸🇪
Romania,5,12919.53,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇷🇴
Morocco,4,3204.1,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇦
Netherlands,4,52447.83,510,0,0,50,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇳🇱
South Africa,4,6001.4,510,160,0,36,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇿🇦
Guatemala,3,4619.99,510,160,0,19,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇬🇹
