,id,full_text,word_len,favorite_count,retweet_count,date,hour,time,created_at,combined_sources,is_in_wiki,is_in_urban_dictionary,is_in_dictionary,is_other_language,byline,web_url,news_desk,section_name,pub_date,type_of_material
0,1.318930528393986e+18,punkify,7,203,44,2020-10-21,15,15:01:57,2020-10-21 15:01:57,none,0,0,0,0,Penelope Green,https://www.nytimes.com/2020/10/21/arts/robert-demora-dead.html,Obits,Arts,2020-10-21T14:33:16+0000,Obituary (Obit)
1,1.31888521090637e+18,amiante,7,11,0,2020-10-21,12,12:01:52,2020-10-21 12:01:52,othlang,0,0,0,1,Marie Fazio,https://www.nytimes.com/2020/10/21/world/americas/asbestos-quebec-canadian-town.html,Express,Americas,2020-10-21T11:38:52+0000,News
2,1.3186134460202598e+18,pentalogue,10,10,0,2020-10-20,18,18:01:58,2020-10-20 18:01:58,none,0,0,0,0,Joshua Cohen,https://www.nytimes.com/2020/10/20/books/review/don-delillo-the-silence.html,Books,Book Review,2020-10-20T17:50:41+0000,Review
3,1.3186134206026342e+18,apocalypst,10,60,5,2020-10-20,18,18:01:52,2020-10-20 18:01:52,none,0,0,0,0,Joshua Cohen,https://www.nytimes.com/2020/10/20/books/review/don-delillo-the-silence.html,Books,Book Review,2020-10-20T17:50:41+0000,Review
4,1.3184854887019438e+18,casedemic,9,13,2,2020-10-20,9,09:33:31,2020-10-20 09:33:31,none,0,0,0,0,Ross Douthat,https://www.nytimes.com/2020/10/20/opinion/trump-campaign-.html,OpEd,Opinion,2020-10-20T09:00:10+0000,Op-Ed
5,1.3184851930958602e+18,digresser,9,12,1,2020-10-20,9,09:32:20,2020-10-20 09:32:20,none,0,0,0,0,Becca Rothfeld,https://www.nytimes.com/2020/10/20/books/review/three-rings-daniel-mendelsohn-stranger-faces-namwali-serpell.html,BookReview,Book Review,2020-10-20T09:00:06+0000,News
6,1.3183265138640036e+18,soccering,9,168,27,2020-10-19,23,23:01:48,2020-10-19 23:01:48,none,0,0,0,0,Gaia Pianigiani,https://www.nytimes.com/2020/10/19/world/europe/rome-wild-boars-killed.html,Foreign,Europe,2020-10-19T22:00:47+0000,News
7,1.318318981514756e+18,jokduri,7,13,2,2020-10-19,22,22:31:53,2020-10-19 22:31:53,wiki,1,0,0,0,Hahna Yoon,https://www.nytimes.com/2020/10/19/style/hanbok-k-pop-fashion.html,Styles,Style,2020-10-19T22:00:06+0000,News
8,1.3183189460435476e+18,operculums,10,20,0,2020-10-19,22,22:31:44,2020-10-19 22:31:44,none,0,0,0,0,Jonathan Wolfe,https://www.nytimes.com/2020/10/19/us/coronavirus-today.html,NYTNow,U.S.,2020-10-19T22:02:04+0000,briefing
9,1.3182736700459786e+18,cyberrelations,14,130,41,2020-10-19,19,19:31:49,2020-10-19 19:31:49,none,0,0,0,0,,,,,,
