Nationality,GDP_PC,USA,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis,_merge
Afghanistan,502.12,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇫,both
Albania,5352.86,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇱,both
Algeria,3948.34,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇩🇿,both
Andorra,40886.39,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇩,both
Angola,2973.59,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇴,both
Antigua and Barbuda,17790.31,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇬,both
Argentina,10006.15,510,56.94,91.53,88.86,0,124.11,50,921.44,,🇦🇷,both
Armenia,4622.73,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇲,both
Australia,54907.1,510,113.88,91.53,88.86,177.64,124.11,50,1156.02,,🇦🇺,both
Austria,50277.28,510,47.45,91.53,0,177.64,0,50,876.62,,🇦🇹,both
Azerbaijan,4793.59,510,75.92,91.53,88.86,177.64,124.11,50,1118.06,,🇦🇿,both
Bahamas,32933.49,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇸,both
Bahrain,23503.98,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇭,both
Bangladesh,1855.74,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇩,both
Barbados,18148.24,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇧,both
Belarus,6663.3,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇾,both
Belgium,46116.7,510,56.94,91.53,0,177.64,0,50,886.11,,🇧🇪,both
Belize,4815.16,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇿,both
Benin,1219.43,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇯,both
Bhutan,3243.23,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇧🇹,both
Bolivia,3552.07,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇴,both
Bosnia and Herzegovina,6073.27,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇦,both
Botswana,7961.34,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇼,both
Brazil,8717.19,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇷,both
Brunei,31086.75,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇳,both
Bulgaria,9737.6,510,56.94,91.53,0,177.64,0,50,886.11,,🇧🇬,both
Burkina Faso,774.84,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇫,both
Burundi,261.25,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇧🇮,both
Cabo Verde,3603.78,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇨🇻,both
Cambodia,1643.12,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇭,both
Cameroon,1497.91,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇨🇲,both
Canada,46194.73,0,56.94,91.53,88.86,177.64,124.11,50,589.08,US F-1: Do not need visa to study in the USA.,🇨🇦,both
Central African Republic,467.91,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇨🇫,both
Chad,709.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇩,both
Chile,14896.45,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇨🇱,both
